epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3795,1.44397,2.09478,1.21839,0.5795,0.61073,0.6373,0.41941,1.23904,1.38916,1.10276,0.000359752,0.000359752,0.000359752
2,66.4672,1.18942,0.90551,1.05631,0.55856,0.64633,0.62927,0.40757,1.22765,1.16825,1.09131,0.000722858,0.000722858,0.000722858
3,80.8376,1.13828,0.80063,1.0201,0.68731,0.72521,0.75602,0.48346,1.21195,0.89035,1.09122,0.00107863,0.00107863,0.00107863
4,95.6743,1.10551,0.75022,1.01696,0.76154,0.73949,0.7706,0.51385,1.20715,0.82047,1.07936,0.001078,0.001078,0.001078
5,110.168,1.09576,0.70499,1.01116,0.75396,0.73229,0.79759,0.52937,1.16484,0.75068,1.05603,0.001067,0.001067,0.001067
6,125.213,1.06036,0.67478,0.99448,0.79897,0.7661,0.82996,0.56488,1.15884,0.71634,1.05356,0.00105601,0.00105601,0.00105601
7,139.93,1.06518,0.67341,1.00747,0.78311,0.7899,0.82769,0.58743,1.14819,0.69789,1.03989,0.00104501,0.00104501,0.00104501
8,155.266,1.06527,0.65495,0.99421,0.84391,0.80177,0.85885,0.61504,1.1173,0.67332,1.0207,0.00103401,0.00103401,0.00103401
9,169.847,1.03834,0.6303,0.97963,0.81737,0.7815,0.83546,0.60363,1.10311,0.65502,1.02304,0.00102301,0.00102301,0.00102301
10,184.423,1.0447,0.62818,0.98641,0.80253,0.8524,0.86909,0.62093,1.10245,0.6467,1.01666,0.00101201,0.00101201,0.00101201
11,199.098,1.01551,0.61532,0.98172,0.90831,0.8012,0.89667,0.65056,1.10644,0.60794,1.01529,0.00100101,0.00100101,0.00100101
12,213.875,0.9993,0.59629,0.97361,0.87186,0.80445,0.87909,0.65244,1.09407,0.61452,1.01215,0.000990012,0.000990012,0.000990012
